tanggal,judul,kategori,link,bulan,tahun
11 Februari 2026,"Saling Support, Ibu dan Anak Kompak Pakai Toga di Wisuda Unesa",Kemahasiswaan,https://unesa.ac.id/saling-support-ibu-dan-anak-kompak-pakai-toga-di-wisuda-unesa/,2,2026
11 Februari 2026,"Perkuat Jejaring Global, Unesa dan Konsul Kehormatan India Jajaki Kerja Sama Strategis",Akademik & Umum,https://unesa.ac.id/perkuat-jejaring-global-unesa-dan-konsul-kehormatan-india-jajaki-kerja-sama-strategis/,2,2026
11 Februari 2026,"Satu Dekade Tradisi Teater Unesa: ""Menunggu Kekasih"" Bius Ratusan Penonton di Graha Sawunggaling",Akademik & Umum,https://unesa.ac.id/satu-dekade-tradisi-teater-unesa-menunggu-kekasih-bius-ratusan-penonton-di-graha-sawunggaling/,2,2026
11 Februari 2026,"Istiqamah di Jalur Al-Qur’an, Alumni Unesa Ainur Roziqin Tampil Qori’ Dihadapan Presiden Prabowo dalam 1 Abad Nahdlatul Ulama",Akademik & Umum,https://unesa.ac.id/istiqamah-di-jalur-al-quran-alumni-unesa-ainur-roziqin-tampil-qori-dihadapan-presiden-prabowo-dalam-1-abad-nahdlatul-ulama/,2,2026
10 Februari 2026,Unesa dan KPID Jatim Jalin Kolaborasi Wujudkan Penyiaran yang Sehat dan Edukatif,Kerjasama & Internasional,https://unesa.ac.id/unesa-dan-kpid-jatim-jalin-kolaborasi-wujudkan-penyiaran-yang-sehat-dan-edukatif/,2,2026
10 Februari 2026,Unesa—Equity LPDP International Summer Course in SDGs and STEM Libatkan 70 Peserta dari 8 Negara,Akademik & Umum,https://unesa.ac.id/unesaequity-lpdp-international-summer-course-in-sdgs-and-stem-libatkan-70-peserta-dari-8-negara/,2,2026
10 Februari 2026,"Unesa Sosialisasi Aplikasi Pengadaan Barang/Jasa Versi Anyar, Pertegas Tata Kelola yang Transparan dan Akuntabel",Akademik & Umum,https://unesa.ac.id/unesa-sosialisasi-aplikasi-pengadaan-barangjasa-versi-anyar-pertegas-tata-kelola-yang-transparan-dan-akuntabel/,2,2026
10 Februari 2026,"Bebas UKT sampai Lulus, Pengisian Data Prestasi Jalur Golden SNBP Unesa Dibuka Hingga 20 Februari 2026",Prestasi & Penghargaan,https://unesa.ac.id/bebas-ukt-sampai-lulus-pengisian-data-prestasi-jalur-golden-snbp-unesa-dibuka-hingga-20-februari-2026/,2,2026
10 Februari 2026,Masa Pendaftaran SNBP Tinggal Beberapa Hari Lagi: Yuk Segera Daftar dan Persiapkan Hal Berikut,Akademik & Umum,https://unesa.ac.id/masa-pendaftaran-snbp-tinggal-beberapa-hari-lagi-yuk-segera-daftar-dan-persiapkan-hal-berikut/,2,2026
10 Februari 2026,"Kukuhkan 9 Profesor, Unesa Bentuk Unit Kerja Percepatan Jabatan Fungsional Dosen dan Targetkan Puluhan Gubes Baru",Riset & Inovasi,https://unesa.ac.id/kukuhkan-9-profesor-unesa-bentuk-unit-kerja-percepatan-jabatan-fungsional-dosen-dan-targetkan-puluhan-gubes-baru/,2,2026
9 Februari 2026,"Akselerasi SDGs di Desa, Unesa Libatkan Pakar Internasional untuk Pemberdayaan Peternak Bondowoso melalui Program UICD",Pikiran Pakar,https://unesa.ac.id/akselerasi-sdgs-di-desa-unesa-libatkan-pakar-internasional-untuk-pemberdayaan-peternak-bondowoso-melalui-program-uicd/,2,2026
9 Februari 2026,"Melampaui Batas: Firza Faturahman, Mahasiswa Unesa yang Menaklukkan Lintasan Asia Tenggara",Kemahasiswaan,https://unesa.ac.id/melampaui-batas-firza-faturahman-mahasiswa-unesa-yang-menaklukkan-lintasan-asia-tenggara/,2,2026
8 Februari 2026,Tingkatkan Prestasi Mahasiswa: Unesa Perkuat Kapasitas Dosen Pembina UKM dan Ormawa melalui P3MAWA,Prestasi & Penghargaan,https://unesa.ac.id/tingkatkan-prestasi-mahasiswa-unesa-perkuat-kapasitas-dosen-pembina-ukm-dan-ormawa-melalui-p3mawa/,2,2026
7 Februari 2026,"Festival Mobilitas Akademik Unesa Hadirkan Pakar Luar, Perkuat Global Mindset—Local Impact Mahasiswa",Pikiran Pakar,https://unesa.ac.id/festival-mobilitas-akademik-unesa-hadirkan-pakar-luar-perkuat-global-mindsetlocal-impact-mahasiswa/,2,2026
7 Februari 2026,"Pecahkan Rekor MURI, Mahasiswa Unesa Hasilkan 11.524 Karya Inovatif dan Berdampak Program Mobilitas Akademik",Riset & Inovasi,https://unesa.ac.id/pecahkan-rekor-muri-mahasiswa-unesa-hasilkan-11524-karya-inovatif-dan-berdampak-program-mobilitas-akademik/,2,2026
7 Februari 2026,"FIKK Unesa Gandeng Pakar Wageningen University, Tingkatkan Kolaborasi Riset dan Publikasi Internasional",Pikiran Pakar,https://unesa.ac.id/fikk-unesa-gandeng-pakar-wageningen-university-tingkatkan-kolaborasi-riset-dan-publikasi-internasional/,2,2026
7 Februari 2026,Unesa Pastikan Lulusan PPG Berkompeten dan Miliki Sertifikat Kebugaran Jasmani,Akademik & Umum,https://unesa.ac.id/unesa-pastikan-lulusan-ppg-berkompeten-dan-miliki-sertifikat-kebugaran-jasmani/,2,2026
6 Februari 2026,"Dibimbing Langsung Pakar dari Singapura, Mahasiswa Akuakultur Dalami Komoditas Bivalve melalui Visiting Lecture",Pikiran Pakar,https://unesa.ac.id/dibimbing-langsung-pakar-dari-singapura-mahasiswa-akuakultur-dalami-komoditas-bivalve-melalui-visiting-lecture/,2,2026
6 Februari 2026,"Mutiara Cantik Harsanto: Berjuang Menembus Batas, dan Mengukir Prestasi di Lintasan Renang ASEAN Para Games",Prestasi & Penghargaan,https://unesa.ac.id/mutiara-cantik-harsanto-berjuang-menembus-batas-dan-mengukir-prestasi-di-lintasan-renang-asean-para-games/,2,2026
6 Februari 2026,"Tampilkan Drama Musikal hingga Libatkan Pelajar AFS Italia, Labschool Unesa Jadi Perhatian di Edufun Fest 2026",Akademik & Umum,https://unesa.ac.id/tampilkan-drama-musikal-hingga-libatkan-pelajar-afs-italia-labschool-unesa-jadi-perhatian-di-edufun-fest-2026/,2,2026
6 Februari 2026,Unesa Sharing Best Practice Program Internasional PPG dengan Unpak Bogor,Akademik & Umum,https://unesa.ac.id/unesa-sharing-best-practice-program-internasional-ppg-dengan-unpak-bogor/,2,2026
5 Februari 2026,"Unesa dan Komnas HAM Jalin Kerja Sama, Perkuat Literasi dan Pemajuan HAM di Daerah",Akademik & Umum,https://unesa.ac.id/unesa-dan-komnas-ham-jalin-kerja-sama-perkuat-literasi-dan-pemajuan-ham-di-daerah/,2,2026
